Student_Names,Phone_No.,CIA_1,CIA_2,CIA_3,Grade,Comment,Roll No.,School Name,Student Address
Debra Patterson,9079648903.0,73.0,53.0,25.0,D,Poor Pursuance,513903,Martin Luther School,"9479 Thomas Track, Lake Sabrinaside, WV 78541"
Jonathan Ferguson MD,9669713380.0,36.0,34.0,55.0,D,Poor Pursuance,536980,Martin Luther School,"USNV Nichols, FPO AA 84857"
Marie Williams,9178562844.0,100.0,33.0,58.0,B,Average Performance,525690,Martin Luther School,"0789 Duke Drives Apt. 163, Sandersfurt, MI 32950"
Jose Ali,9245272234.0,92.0,69.0,38.0,B,Average Performance,546218,Martin Luther School,"45882 Zachary Terrace Suite 424, Port Alanberg, AR 57218"
Marcus Miller,9352288010.0,99.0,33.0,89.0,B+,Good Pursuance,585035,Martin Luther School,"165 Gina Fort Suite 842, Lisaview, WV 13159"
Sue Hodges,9584903621.0,24.0,35.0,94.0,C,Below Average Achivement,560850,Martin Luther School,"PSC 8342, Box 3704, APO AP 50735"
Jack Navarro,9932425619.0,96.0,53.0,51.0,B,Average Performance,537779,Martin Luther School,"39085 Potts Burgs, Davidmouth, NC 14159"
Laura Henry,9004485265.0,65.0,23.0,78.0,C,Below Average Achivement,595455,Martin Luther School,"892 Pratt Lock, North Anna, IN 07663"
Paul Acosta,9903381550.0,24.0,39.0,44.0,D,Poor Pursuance,587065,Martin Luther School,"0991 Michelle Streets Suite 721, East Ryanville, MH 32944"
Andrew Alexander,9870622363.0,64.0,81.0,22.0,C,Below Average Achivement,597593,Martin Luther School,"8254 Donna Orchard Suite 218, Lake Brycechester, MS 41177"
Mr. Jared Jackson,9998984376.0,79.0,13.0,45.0,D,Poor Pursuance,537950,Martin Luther School,"4468 David Fork Suite 352, North Samanthaton, MH 80143"
Gabriel Morgan,9315571860.0,94.0,70.0,54.0,B+,Good Pursuance,542938,Martin Luther School,"9323 Brooke Locks, Justinport, MS 11333"
Michael Gould,9824588745.0,98.0,16.0,55.0,C,Below Average Achivement,579896,Martin Luther School,"0308 Tracy Port, South Jared, CA 78739"
Arthur Cook,9066473944.0,32.0,11.0,77.0,D,Poor Pursuance,541685,Martin Luther School,"3316 Shawn Inlet Apt. 876, Kimberlyview, NV 68090"
Erin Hamilton,9101485381.0,58.0,48.0,20.0,D,Poor Pursuance,533986,Martin Luther School,"616 Benjamin Parks Suite 129, New Joshua, WI 91572"
Kathleen Shea MD,9980948830.0,25.0,64.0,69.0,C,Below Average Achivement,586290,Martin Luther School,"69739 Jeffery Turnpike, Josephmouth, DE 49643"
Richard Farrell,9381931992.0,77.0,83.0,91.0,A,Very Good Achivement,566434,Martin Luther School,"5034 Gonzalez Islands Suite 028, West Spencer, CO 84680"
William Preston,9310782294.0,70.0,28.0,46.0,D,Poor Pursuance,578153,Martin Luther School,"4312 Jacob Ridge Apt. 429, Tiffanymouth, SD 23039"
Anthony Smith,9205999079.0,95.0,35.0,27.0,C,Below Average Achivement,557050,Martin Luther School,"32078 Smith Falls, Alvaradostad, NJ 36529"
Daniel Jones,9010700585.0,91.0,87.0,39.0,B+,Good Pursuance,598470,Martin Luther School,"877 Kimberly Locks, Lake Samantha, FM 80415"
Matthew Monroe,9408032662.0,60.0,87.0,30.0,C,Below Average Achivement,520632,Martin Luther School,"93306 Travis Springs, Myershaven, KS 17699"
Joseph Bird,9441213011.0,74.0,31.0,64.0,C,Below Average Achivement,582499,Martin Luther School,"4479 Rodney Cape, Brownland, PA 75857"
Eric West,9578209998.0,92.0,98.0,44.0,B+,Good Pursuance,514771,Martin Luther School,"496 Spencer Ports Apt. 757, East Sallyfort, IL 51344"
Jennifer Miller,9989027897.0,30.0,62.0,53.0,D,Poor Pursuance,543309,Martin Luther School,"5029 Natalie Garden, West Thomas, MP 91053"
Stacey Carter,9514639945.0,31.0,32.0,72.0,D,Poor Pursuance,527046,Martin Luther School,"72753 Thomas Unions Apt. 201, East Cheryl, AZ 97324"
Mark Jordan,9718861324.0,77.0,54.0,95.0,B+,Good Pursuance,571526,Martin Luther School,"601 Dominique Viaduct, South Natalieton, MH 37726"
Jerry Reynolds,9548737339.0,96.0,89.0,28.0,B+,Good Pursuance,551213,Martin Luther School,"541 Kelley Dam Suite 851, Robertsside, DC 19451"
Tyler Johnson,9720576358.0,70.0,84.0,65.0,B+,Good Pursuance,522090,Martin Luther School,"USS Benson, FPO AE 30236"
Teresa Bonilla MD,9596971294.0,85.0,11.0,45.0,D,Poor Pursuance,569210,Martin Luther School,"USCGC Wang, FPO AA 26125"
Lindsey Ramirez,9957556859.0,29.0,98.0,89.0,B+,Good Pursuance,506620,Martin Luther School,"USCGC Knapp, FPO AA 24526"
Christine Brown,9717320878.0,53.0,39.0,47.0,D,Poor Pursuance,584459,Martin Luther School,"66737 Kristen Way, East Juanstad, GU 95323"
Alexandria Gonzales,9311315810.0,13.0,18.0,12.0,F,Failed,538319,Martin Luther School,"02565 Gabriel Valley, Marymouth, MT 85234"
Debra Knox,9107755934.0,18.0,85.0,35.0,D,Poor Pursuance,534268,Martin Luther School,"048 Virginia Squares Apt. 016, Lake Mariemouth, MD 90274"
Curtis Curtis,9719390282.0,77.0,71.0,58.0,B,Average Performance,571690,Martin Luther School,"168 Meyers Rapids Suite 430, South Jacob, NC 50681"
Rebecca James,9620981865.0,64.0,15.0,26.0,D,Poor Pursuance,531137,Martin Luther School,"866 Brandon Cove, Jasonfurt, AK 74338"
Jordan Welch,9514848307.0,17.0,10.0,40.0,F,Failed,506587,Martin Luther School,"287 Bryan Viaduct Suite 555, Allenton, OK 32784"
Rachel Page,9618892356.0,75.0,75.0,83.0,B+,Good Pursuance,581033,Martin Luther School,"6048 Daniels River, Acostaland, AR 55275"
Samuel Vega,9879401716.0,34.0,19.0,29.0,F,Failed,595418,Martin Luther School,"USCGC Ellis, FPO AE 84676"
Alexander Friedman,9908563608.0,85.0,87.0,55.0,B+,Good Pursuance,590025,Martin Luther School,"PSC 5193, Box 0841, APO AP 58937"
Michael Sandoval,9193453846.0,40.0,19.0,65.0,D,Poor Pursuance,542653,Martin Luther School,"0525 Dillon Creek Apt. 278, Millerville, SD 60676"
Mary Thompson,9490775311.0,50.0,41.0,64.0,C,Below Average Achivement,563795,Martin Luther School,"0178 Antonio Locks, North Christopher, MP 41385"
Kimberly Burton,9919918272.0,12.0,78.0,90.0,C,Below Average Achivement,546114,Martin Luther School,"05353 Hood Track Suite 838, New Daniel, SD 47364"
Michael Foster,9747735877.0,78.0,12.0,74.0,C,Below Average Achivement,510068,Martin Luther School,"255 Barry Valley, West Lisachester, FM 46666"
Crystal Lopez,9264338538.0,92.0,75.0,65.0,B+,Good Pursuance,526891,Martin Luther School,"29800 Butler Drive, East Emily, PA 30607"
Katrina Patterson,9177558372.0,90.0,65.0,48.0,B,Average Performance,511779,Martin Luther School,"39540 Leslie Turnpike Apt. 875, Amandastad, GU 42582"
Jesus Marsh,9477296247.0,35.0,95.0,36.0,C,Below Average Achivement,544909,Martin Luther School,"0222 Robbins Turnpike, New Connie, IN 82982"
Jeremy Anderson,9187805856.0,75.0,98.0,31.0,B,Average Performance,570484,Martin Luther School,"98599 Harmon Causeway, Biancabury, NV 42384"
Whitney Bautista,9655809860.0,22.0,30.0,70.0,D,Poor Pursuance,540914,Martin Luther School,"6307 Jacob Cliffs, New Heatherville, MO 41138"
Kristine Wilson,9515100698.0,62.0,70.0,22.0,C,Below Average Achivement,547035,Martin Luther School,"9857 Fields Crossroad Suite 486, Bowenland, WY 58503"
Heidi Jenkins,9610328196.0,87.0,20.0,31.0,D,Poor Pursuance,529573,Martin Luther School,"51998 Sharon Track Apt. 188, West Alanborough, AR 60249"
Daniel Franklin,9096546077.0,14.0,94.0,31.0,D,Poor Pursuance,518964,Martin Luther School,"633 Walker Meadows, Mariotown, WV 41807"
Kayla Nelson,9588677712.0,68.0,76.0,81.0,B+,Good Pursuance,517118,Martin Luther School,"3835 Page Springs, Elizabethfort, KS 91340"
Amber Brown,9562606220.0,27.0,89.0,89.0,B,Average Performance,580999,Martin Luther School,"038 Lewis Isle Suite 112, New Jessicaport, IN 21583"
David Davis,9186721518.0,44.0,57.0,44.0,D,Poor Pursuance,599750,Martin Luther School,"201 Oconnor Forges Suite 842, Mariafort, VI 92197"
Kristin Williams,9206695157.0,61.0,75.0,37.0,C,Below Average Achivement,594275,Martin Luther School,"0804 Taylor Plaza Apt. 804, Phillipmouth, GU 39181"
James Simmons,9762771928.0,54.0,97.0,64.0,B+,Good Pursuance,523924,Martin Luther School,"33934 Munoz Fords Apt. 590, Charlesburgh, NM 33467"
Preston Mitchell,9604308837.0,72.0,71.0,99.0,B+,Good Pursuance,500856,Martin Luther School,"090 Smith Landing, New Abigail, FL 43590"
Rachel Lopez,9125172125.0,38.0,66.0,72.0,C,Below Average Achivement,540729,Martin Luther School,"0243 Amy Street Suite 124, New Charles, KS 28656"
Ryan Ramos,9865505107.0,67.0,22.0,43.0,D,Poor Pursuance,525037,Martin Luther School,"75719 Sims Islands, Cortezhaven, ME 10959"
Greg Brooks,9093949916.0,51.0,55.0,15.0,D,Poor Pursuance,507389,Martin Luther School,"2111 Eric Ridges, Johnborough, FM 09961"
Morgan Kim,9101080455.0,16.0,92.0,36.0,D,Poor Pursuance,583692,Martin Luther School,"0690 Karen Bridge Suite 317, South Jackton, NY 37013"
Shane Smith,9585731846.0,21.0,55.0,21.0,F,Failed,563132,Martin Luther School,"USNV Collins, FPO AE 66745"
Todd Bradley,9950736657.0,22.0,34.0,57.0,D,Poor Pursuance,545512,Martin Luther School,"90273 Tucker Rest, Lake Jon, LA 93572"
Joseph Savage,9919260312.0,85.0,97.0,86.0,A,Very Good Achivement,543050,Martin Luther School,"072 Maurice Street Apt. 398, Stewartchester, OK 83922"
Donna James,9790425696.0,52.0,36.0,78.0,C,Below Average Achivement,539076,Martin Luther School,"USNS Gardner, FPO AP 21193"
Sara Wang,9735406557.0,19.0,83.0,39.0,D,Poor Pursuance,503394,Martin Luther School,"2277 Blackburn Flats, Sanchezview, ME 48096"
Sydney Bray,9912372852.0,39.0,63.0,32.0,D,Poor Pursuance,540475,Martin Luther School,"993 Tammy Dam Apt. 421, Bradleyville, AS 03155"
Mercedes Nguyen,9241390759.0,47.0,58.0,67.0,C,Below Average Achivement,523749,Martin Luther School,"762 Ian Mountain, West Theresa, MO 81176"
Jaime Edwards,9623476939.0,23.0,16.0,80.0,D,Poor Pursuance,537213,Martin Luther School,"0133 Shaw Points Suite 614, South Anthonyton, IL 52629"
Brian Davis PhD,9771764315.0,76.0,31.0,65.0,C,Below Average Achivement,511450,Martin Luther School,"571 Jeff Greens, Lake Christine, VI 91622"
Micheal Dixon,9549718084.0,34.0,96.0,94.0,B+,Good Pursuance,596228,Martin Luther School,"1811 Vanessa Parkway Suite 222, Parkerview, NH 28041"
Vincent Garrett,9569793553.0,23.0,36.0,36.0,F,Failed,547247,Martin Luther School,"1826 Lawrence Crossing Suite 918, Wilkinsland, MI 14865"
Edward Campbell,9652480324.0,83.0,36.0,36.0,C,Below Average Achivement,524195,Martin Luther School,"380 Anderson Avenue Suite 472, Sanchezfort, PR 03596"
Elizabeth Green,9419012970.0,53.0,77.0,78.0,B,Average Performance,536095,Martin Luther School,"75460 David Creek, East Kimberlychester, OR 45872"
Breanna Buchanan,9910987803.0,21.0,19.0,98.0,D,Poor Pursuance,557103,Martin Luther School,"USNV Rodriguez, FPO AA 89567"
Douglas Massey,9558255851.0,31.0,70.0,88.0,B,Average Performance,540495,Martin Luther School,"746 Miller Vista, Cherylstad, IN 89805"
Michael Valentine III,9438088155.0,16.0,10.0,96.0,D,Poor Pursuance,507512,Martin Luther School,"1403 Adams Glen, North Rebecca, PR 78053"
David Escobar,9599196295.0,16.0,14.0,39.0,F,Failed,591929,Martin Luther School,"853 Pruitt Ports Apt. 949, South Stevenborough, MI 29510"
James Norman,9784847778.0,72.0,12.0,52.0,D,Poor Pursuance,531089,Martin Luther School,"51827 Catherine Forest Apt. 237, Harrischester, GA 00541"
Martha Lewis,9691464940.0,98.0,53.0,14.0,C,Below Average Achivement,558728,Martin Luther School,"382 Julie Tunnel Suite 896, East Maria, CT 31475"
Johnny Ellis,9494216097.0,78.0,45.0,79.0,B,Average Performance,551586,Martin Luther School,"67636 Meredith Squares Apt. 154, New Joseburgh, CT 94860"
Belinda Holden,9057146035.0,67.0,97.0,64.0,B+,Good Pursuance,537145,Martin Luther School,"10996 Gonzales Freeway, Potterstad, NV 13254"
Scott Landry,9143193811.0,93.0,77.0,76.0,A,Very Good Achivement,586837,Martin Luther School,"PSC 7572, Box 5063, APO AE 17104"
Tyler Harrell,9375280717.0,14.0,78.0,81.0,C,Below Average Achivement,513814,Martin Luther School,"28905 Mikayla Valley Apt. 999, Jillburgh, FM 12834"
Amanda Jordan,9691680837.0,30.0,76.0,47.0,C,Below Average Achivement,532475,Martin Luther School,"64257 Debra Bridge, Barrfort, TN 32286"
Stephanie Rodriguez,9134032302.0,71.0,45.0,16.0,D,Poor Pursuance,595016,Martin Luther School,"58329 Strickland Mountain Apt. 068, West Thomas, OR 45376"
Carrie Munoz DDS,9110740544.0,54.0,73.0,55.0,C,Below Average Achivement,510917,Martin Luther School,"75610 Hayes Ports, Brownland, TX 07098"
Derek Maddox,9449897056.0,55.0,73.0,31.0,C,Below Average Achivement,577411,Martin Luther School,"USCGC Cooper, FPO AE 57098"
Ian Mcdonald,9184774559.0,46.0,69.0,66.0,C,Below Average Achivement,536213,Martin Luther School,"064 Wade Spur, Barretthaven, PA 52442"
Aaron Krueger,9505260427.0,73.0,67.0,38.0,C,Below Average Achivement,575650,Martin Luther School,"864 Patricia Trail Suite 542, North Philip, KY 64000"
Christina Wyatt,9548206997.0,52.0,42.0,84.0,C,Below Average Achivement,533283,Martin Luther School,"31418 Kristin Gardens Apt. 677, Hawkinsbury, VT 46469"
Charles Evans,9982819730.0,85.0,81.0,95.0,A,Very Good Achivement,571708,Martin Luther School,"7438 Dixon Way Apt. 620, Adamston, IN 18168"
Thomas Clark,9562277745.0,36.0,67.0,99.0,B,Average Performance,595959,Martin Luther School,"Unit 0655 Box 3381, DPO AP 45452"
Melissa Christensen,9232864349.0,59.0,19.0,80.0,C,Below Average Achivement,578776,Martin Luther School,"PSC 5527, Box 1940, APO AA 67183"
William Clayton,9184566336.0,57.0,47.0,14.0,D,Poor Pursuance,534873,Martin Luther School,"USNS Oneill, FPO AE 27693"
Caroline Stanley,9205441298.0,48.0,69.0,50.0,C,Below Average Achivement,573498,Martin Luther School,"Unit 6876 Box 1789, DPO AA 22311"
Richard Tapia,9866462833.0,60.0,53.0,93.0,B,Average Performance,585938,Martin Luther School,"05988 Hicks Grove, Ayersbury, CT 25059"
Brian Castillo,9835605839.0,85.0,16.0,38.0,D,Poor Pursuance,529685,Martin Luther School,"203 Kim Lodge Suite 241, North Debbieburgh, VI 44103"
Marilyn Williams,9821976548.0,43.0,48.0,45.0,D,Poor Pursuance,585016,Martin Luther School,"115 Singh Estate Apt. 099, Margaretton, AR 11374"
Jasmine Davis,9609757321.0,65.0,19.0,91.0,C,Below Average Achivement,581723,Martin Luther School,"Unit 0449 Box 6441, DPO AA 70480"
Mrs. Amber Ramos MD,9698243936.0,65.0,46.0,72.0,B,Average Performance,551152,Martin Luther School,"840 Jones Cliff, Mindyside, AL 42826"
Joseph Kelley,9080413559.0,100.0,16.0,90.0,B,Average Performance,567934,Martin Luther School,"5662 Torres Lodge Suite 711, North Blake, NH 61078"
Steven Montes,9581835997.0,50.0,23.0,65.0,D,Poor Pursuance,569762,Martin Luther School,"2979 Shawn Lane Suite 061, Wilsonborough, PR 60730"
Margaret Cross,9597011535.0,16.0,47.0,40.0,D,Poor Pursuance,509644,Martin Luther School,"077 Scott Via, New Christinechester, MD 73629"
Denise Smith,9985640534.0,46.0,18.0,84.0,D,Poor Pursuance,518048,Martin Luther School,"0456 Williams Mall, East Jonathanside, AL 65280"
Grace Clark,9765007947.0,46.0,70.0,74.0,B,Average Performance,571790,Martin Luther School,"9320 Lee Forges Suite 941, New Albertside, NE 58256"
Jacob Mann,9577748118.0,55.0,92.0,30.0,C,Below Average Achivement,583973,Martin Luther School,"35017 Lee Hills, Cabreratown, MI 75926"
Patricia Vazquez,9597736721.0,51.0,56.0,97.0,B,Average Performance,572294,Martin Luther School,"10581 Greene Skyway, Port Davidhaven, AZ 06706"
Jessica Ramirez,9709972991.0,60.0,75.0,61.0,B,Average Performance,554547,Martin Luther School,"78651 Michael Green, Douglasview, ID 76122"
Alexandra Gomez,9758927356.0,78.0,38.0,73.0,B,Average Performance,545219,Martin Luther School,"618 Curtis Crossroad, Whitestad, PR 43930"
Jennifer Nguyen,9615446705.0,53.0,100.0,30.0,B,Average Performance,578793,Martin Luther School,"19140 Hill Point Suite 738, Smithbury, ID 07665"
Jacob Benson,9500566171.0,45.0,58.0,33.0,D,Poor Pursuance,514170,Martin Luther School,"518 Elizabeth Shoal Apt. 184, Cobbtown, WA 32055"
Lisa Archer,9909230325.0,26.0,59.0,76.0,C,Below Average Achivement,576165,Martin Luther School,"793 Allen Views, North Sean, WA 07870"
Roberto Stephens,9378818123.0,53.0,48.0,93.0,B,Average Performance,562924,Martin Luther School,"2301 Eric Drives, West Jenniferborough, KY 19261"
John Graham,9495273898.0,34.0,22.0,69.0,D,Poor Pursuance,532433,Martin Luther School,"PSC 2171, Box 9760, APO AE 70543"
Teresa Jackson,9471871331.0,74.0,41.0,24.0,D,Poor Pursuance,580133,Martin Luther School,"5181 Lindsay Station, North Amandahaven, CT 73389"
Julia Nichols,9977431712.0,90.0,51.0,82.0,B+,Good Pursuance,590737,Martin Luther School,"1498 Velazquez Tunnel, Timbury, GU 38991"
Alicia Lopez,9398698529.0,51.0,24.0,70.0,D,Poor Pursuance,519341,Martin Luther School,"07645 Castillo Route Apt. 349, Jeffreyborough, TX 90816"
Raymond Mitchell,9110820251.0,88.0,48.0,15.0,D,Poor Pursuance,544131,Martin Luther School,"239 Kristen Lane, Veronicatown, MN 15403"
Cindy Nelson,9636666078.0,61.0,92.0,52.0,B,Average Performance,517291,Martin Luther School,"776 Monroe Orchard Apt. 027, East Melanie, AL 97927"
Teresa Bender,9677505560.0,98.0,56.0,62.0,B+,Good Pursuance,546153,Martin Luther School,"93946 Daniels Plain Suite 293, Mccannport, WA 49080"
Courtney Barr,9039133186.0,93.0,34.0,54.0,C,Below Average Achivement,545530,Martin Luther School,"822 Lindsay Motorway Apt. 022, Whitestad, CO 80364"
Gary Dillon,9459863963.0,99.0,68.0,89.0,A,Very Good Achivement,588558,Martin Luther School,"312 Sarah Trail Suite 833, New Joshualand, PW 04702"
Kathleen Ali,9187121518.0,95.0,79.0,90.0,A,Very Good Achivement,590544,Martin Luther School,"71379 Miles Pike Suite 628, South Tracyview, UT 62836"
Teresa Dickson,9708336074.0,31.0,80.0,50.0,C,Below Average Achivement,514215,Martin Luther School,"59487 Alexis Corner, Chandlerland, ND 25252"
Joshua Davis,9824534189.0,42.0,29.0,27.0,F,Failed,528482,Martin Luther School,"52726 Tiffany Camp Suite 417, Masonport, WY 03894"
Christopher Newman,9342442486.0,49.0,43.0,45.0,D,Poor Pursuance,555784,Martin Luther School,"1796 Debra Drives Apt. 959, Edwardton, ND 26465"
Michael Poole,9988169890.0,71.0,94.0,13.0,C,Below Average Achivement,549515,Martin Luther School,"8906 Jackson Drives Suite 179, East Pedroland, LA 40253"
Danielle Watkins,9838802241.0,97.0,23.0,83.0,B,Average Performance,507350,Martin Luther School,"173 Woodward Throughway, Davismouth, AR 52889"
Ian Morales,9801265794.0,48.0,44.0,27.0,D,Poor Pursuance,591294,Martin Luther School,"PSC 7033, Box 6930, APO AE 18806"
Kirk Oconnell,9917714224.0,24.0,76.0,23.0,D,Poor Pursuance,553571,Martin Luther School,"8224 Garza Hill Apt. 226, Laneside, ND 78077"
Adam Patel,9914005440.0,15.0,53.0,34.0,D,Poor Pursuance,526651,Martin Luther School,"78345 Eric Fork Apt. 608, West Jessicaville, AL 15647"
Darrell Wong,9391962834.0,56.0,26.0,83.0,C,Below Average Achivement,525330,Martin Luther School,"2224 Hamilton Road Suite 646, Stephensland, MI 87537"
Eric Hernandez,9901610441.0,67.0,60.0,22.0,D,Poor Pursuance,521328,Martin Luther School,"926 Lamb Highway Apt. 344, Calvinfort, IN 00755"
Mallory Gomez,9496382538.0,19.0,69.0,65.0,C,Below Average Achivement,591693,Martin Luther School,"0464 Miller Haven Suite 453, East Robertbury, MI 73397"
Dr. Mary Smith,9260799042.0,44.0,30.0,61.0,D,Poor Pursuance,522456,Martin Luther School,"2128 Amber Ford, Mcbrideland, ID 46958"
Sally Morton,9083669906.0,65.0,75.0,74.0,B+,Good Pursuance,527250,Martin Luther School,"485 Newman Ports Suite 769, Longberg, LA 80725"
Juan Rivera,9227834654.0,19.0,18.0,91.0,D,Poor Pursuance,512918,Martin Luther School,"164 Franklin Haven Apt. 409, East Jacquelineville, AS 42193"
Rachel Gonzalez,9230084715.0,83.0,41.0,19.0,D,Poor Pursuance,530512,Martin Luther School,"14230 Taylor Ramp Suite 829, Jonesborough, MN 05663"
Brian Hill,9060223172.0,88.0,19.0,23.0,D,Poor Pursuance,549016,Martin Luther School,"64733 Dawson Way, Guerrafurt, GA 05632"
Matthew Boone,9616410921.0,59.0,39.0,82.0,C,Below Average Achivement,541894,Martin Luther School,"USS White, FPO AE 98705"
Dr. Ryan Arnold PhD,9770656033.0,67.0,84.0,97.0,A,Very Good Achivement,560068,Martin Luther School,"347 Douglas Meadow Suite 820, Romeroport, SD 96123"
Colleen Carter,9239554642.0,89.0,49.0,96.0,B+,Good Pursuance,575327,Martin Luther School,"Unit 9233 Box 9400, DPO AA 73710"
Neil Cunningham,9259008040.0,53.0,23.0,22.0,F,Failed,575519,Martin Luther School,"379 Bentley Summit Suite 679, Troyview, AR 97315"
Julie Hobbs,9023222128.0,30.0,49.0,63.0,D,Poor Pursuance,572833,Martin Luther School,"030 Michael Branch Apt. 901, West Nicholasstad, OH 88012"
Alexis Merritt,9069427524.0,97.0,78.0,79.0,A,Very Good Achivement,570041,Martin Luther School,"36278 Mary Cliffs Apt. 355, Gamblestad, MA 53871"
Travis Garcia,9742011491.0,75.0,59.0,86.0,B+,Good Pursuance,593712,Martin Luther School,"20717 Davis Causeway Apt. 407, Rileyfurt, RI 20272"
Blake Chan,9987628794.0,24.0,79.0,41.0,D,Poor Pursuance,506367,Martin Luther School,"560 Berg Alley Suite 688, Gonzalezberg, WI 22501"
Michelle Young,9116888158.0,40.0,38.0,13.0,F,Failed,548631,Martin Luther School,"6884 Torres Vista, New Natasha, DC 90240"
Brian Dennis,9487618356.0,33.0,69.0,11.0,D,Poor Pursuance,531658,Martin Luther School,"36524 Andrew Forge, New Bethany, WY 46647"
Laura Townsend,9074366435.0,80.0,41.0,72.0,B,Average Performance,562781,Martin Luther School,"7651 Short Brook Suite 931, East Andreaton, UT 88498"
Alicia Soto,9070043221.0,34.0,22.0,40.0,F,Failed,522550,Martin Luther School,"4600 Robert Square, Cohenmouth, NJ 14401"
Heather Bean,9330980256.0,21.0,44.0,53.0,D,Poor Pursuance,525005,Martin Luther School,"43155 Moody Lodge, New Aliciashire, DE 78994"
Christina Rojas,9675906112.0,14.0,70.0,64.0,D,Poor Pursuance,518805,Martin Luther School,"7275 Alicia Bridge Apt. 947, North Jaimeview, CA 90604"
Samantha Conway,9736325359.0,86.0,45.0,90.0,B+,Good Pursuance,555607,Martin Luther School,"1942 Wyatt Drive, Coopershire, PR 66129"
Anthony Parker,9592468160.0,72.0,36.0,78.0,B,Average Performance,565858,Martin Luther School,"97785 Carr Isle, Bakerborough, WI 35741"
Robert Sharp,9336847742.0,23.0,68.0,91.0,C,Below Average Achivement,570450,Martin Luther School,"3009 Newton Inlet Apt. 091, Shawside, FL 10062"
Charles Washington,9365388619.0,93.0,37.0,49.0,C,Below Average Achivement,524173,Martin Luther School,"51874 Mark Ranch Apt. 053, East Amanda, MP 37234"
Sarah Robinson,9128176261.0,43.0,37.0,15.0,F,Failed,564704,Martin Luther School,"1631 Cross Causeway, Lewisview, ME 56357"
Michael Shaffer,9990447266.0,81.0,98.0,68.0,A,Very Good Achivement,554078,Martin Luther School,"Unit 0264 Box 0308, DPO AE 71683"
Robert Hayes,9784428997.0,26.0,52.0,52.0,D,Poor Pursuance,570957,Martin Luther School,"Unit 3054 Box 6195, DPO AE 29848"
Carla Leon,9910583554.0,77.0,56.0,46.0,C,Below Average Achivement,517101,Martin Luther School,"USNS Tran, FPO AE 24470"
Harry Jones,9133095862.0,91.0,24.0,19.0,D,Poor Pursuance,513565,Martin Luther School,"68326 Gibbs Lake Suite 834, Lake Ronaldville, OR 93447"
Brian Mullins,9368512023.0,54.0,37.0,43.0,D,Poor Pursuance,511765,Martin Luther School,"453 Clark Mountain, Port Michaelview, WI 80276"
Kendra Moran,9765304513.0,21.0,65.0,60.0,D,Poor Pursuance,500869,Martin Luther School,"539 Dwayne Street, Smithland, CO 00776"
Thomas Robinson,9156498358.0,50.0,22.0,88.0,C,Below Average Achivement,589756,Martin Luther School,"548 Brittany Common Apt. 382, New Matthewburgh, IL 44087"
Andrew Miller,9256674002.0,50.0,71.0,81.0,B,Average Performance,502371,Martin Luther School,"991 Alejandro Locks, Walterberg, RI 45321"
Roger Caldwell,9219639027.0,95.0,23.0,80.0,B,Average Performance,527766,Martin Luther School,"68690 Nicole Spur Suite 461, Amandafurt, OH 74796"
Anita Rice,9324567888.0,63.0,26.0,72.0,C,Below Average Achivement,509985,Martin Luther School,"72199 Penny Coves Suite 901, New Anthony, WY 59554"
Theresa Atkins,9086018516.0,18.0,61.0,53.0,D,Poor Pursuance,525972,Martin Luther School,"225 Foster Key Apt. 085, West Steve, PR 85337"
Mary Young,9230160032.0,52.0,71.0,81.0,B,Average Performance,528216,Martin Luther School,"PSC 6231, Box 7196, APO AE 75096"
Lisa Jackson,9137733453.0,27.0,21.0,68.0,D,Poor Pursuance,587049,Martin Luther School,"3818 Jeremy Turnpike Apt. 407, Morganburgh, KY 30025"
Daniel Anderson,9435027285.0,93.0,99.0,95.0,A+,Excellent Performance,515258,Martin Luther School,"425 David Fords, Fergusonmouth, KS 45648"
Gloria Brock,9821396837.0,91.0,85.0,35.0,B,Average Performance,506014,Martin Luther School,"525 Perkins Falls Apt. 888, Nunezberg, RI 01200"
Kevin Moyer,9077301933.0,78.0,39.0,73.0,B,Average Performance,517027,Martin Luther School,"224 Wilson Square, Michaelville, SD 21168"
Beverly Stanley,9892170674.0,52.0,95.0,23.0,C,Below Average Achivement,509337,Martin Luther School,"8397 Donna Valleys, North Brianshire, CA 99719"
Lisa Gould,9828430395.0,23.0,64.0,52.0,D,Poor Pursuance,526732,Martin Luther School,"2396 Nguyen Crest Apt. 360, North David, NM 50859"
Denise Evans,9750389084.0,65.0,25.0,41.0,D,Poor Pursuance,586996,Martin Luther School,"8709 Carlos Points, Port Donna, TX 22737"
Catherine Bell,9701031167.0,74.0,90.0,87.0,A,Very Good Achivement,504136,Martin Luther School,"9875 Becker Loop Suite 970, North Brian, OK 87887"
Jim Cardenas,9613411250.0,56.0,47.0,85.0,B,Average Performance,536561,Martin Luther School,"6632 Montoya Mountains, East Patriciabury, NJ 48410"
Christine Alvarez,9855779225.0,13.0,48.0,55.0,D,Poor Pursuance,596441,Martin Luther School,"9869 Smith Wells Suite 403, Lake Nataliefort, NV 00839"
Roberto Hurst,9424600138.0,72.0,78.0,23.0,C,Below Average Achivement,542918,Martin Luther School,"167 Fox Drive Suite 159, Johnchester, IN 35543"
Seth Jones,9933208033.0,65.0,93.0,56.0,B+,Good Pursuance,540843,Martin Luther School,"7256 Peter Run Suite 070, Taylorstad, MP 40203"
